settlementDate,settlementPeriod,startTime,createdDateTime,systemSellPrice,systemBuyPrice,bsadDefaulted,priceDerivationCode,reserveScarcityPrice,netImbalanceVolume,sellPriceAdjustment,buyPriceAdjustment,replacementPrice,replacementPriceReferenceVolume,totalAcceptedOfferVolume,totalAcceptedBidVolume,totalAdjustmentSellVolume,totalAdjustmentBuyVolume,totalSystemTaggedAcceptedOfferVolume,totalSystemTaggedAcceptedBidVolume,totalSystemTaggedAdjustmentSellVolume,totalSystemTaggedAdjustmentBuyVolume
2024-11-01,1,2024-11-01T00:00:00Z,2024-11-02T00:44:38Z,99.6,99.6,False,P,0.0,48.2975525,0.0,0.0,,,2193.946684424603,-2198.2244652579366,0.0,52.467,2192.946684424603,-2198.2244652579366,,52.467
2024-11-01,2,2024-11-01T00:30:00Z,2024-11-02T01:14:30Z,99.6,99.6,False,P,0.0,59.28316138558201,0.0,0.0,,,2062.7933030539493,-2003.4367288888889,0.0,0.0,2061.7933030539493,-2003.4367288888889,,
2024-11-01,3,2024-11-01T01:00:00Z,2024-11-02T01:44:35Z,83.53,83.53,False,N,0.0,-197.76435185185184,0.0,0.0,83.53,0.0,1709.9891505092592,-1907.5965845833334,0.0,0.0,1709.9891505092592,-1906.5965845833334,,
2024-11-01,4,2024-11-01T01:30:00Z,2024-11-02T02:14:44Z,75.91,75.91,False,N,0.0,-213.49154655555554,0.0,0.0,75.91,0.0,1558.9373098333333,-1772.3539744722223,0.0,0.0,1558.9373098333333,-1771.3539744722223,,
2024-11-01,5,2024-11-01T02:00:00Z,2024-11-02T02:44:32Z,99.6,99.6,False,P,0.0,17.341496471861472,0.0,0.0,,,1644.4371041107504,-1627.020627121212,0.0,0.0,1643.4371041107504,-1627.020627121212,,
2024-11-01,6,2024-11-01T02:30:00Z,2024-11-02T03:14:32Z,99.6,99.6,False,P,0.0,73.28327374351132,0.0,0.0,,,1580.474940410178,-1507.192048176647,0.0,0.0,1579.474940410178,-1507.192048176647,,
2024-11-01,7,2024-11-01T03:00:00Z,2024-11-02T03:44:30Z,99.6,99.6,False,P,0.0,15.189787296037297,0.0,0.0,,,1403.4731206293707,-1388.525,0.0,0.0,1402.4731206293707,-1388.525,,
2024-11-01,8,2024-11-01T03:30:00Z,2024-11-02T04:14:30Z,36.8547496171956,36.8547496171956,False,N,0.0,-207.52875,0.0,0.0,36.882,1.0,1301.8145833333333,-1509.4016666666666,0.0,0.0,1301.8145833333333,-1508.4016666666666,,
2024-11-01,9,2024-11-01T04:00:00Z,2024-11-02T04:44:31Z,71.63,71.63,False,N,0.0,-485.68461946428573,0.0,0.0,71.63,0.0,1061.3451027579365,-1547.110009045139,0.0,0.0,1061.3451027579365,-1546.110009045139,,
2024-11-01,10,2024-11-01T04:30:00Z,2024-11-02T05:14:33Z,68.04,68.04,False,N,0.0,-357.2625,0.0,0.0,68.04,0.0,1124.0632016562686,-1481.4851191666667,0.0,0.0,1124.0632016562686,-1480.4851191666667,,
