Delivery Date,From,To,Service Requirement MW,Service Requirement Type,Guaranteed Acceptance Price GBP per MWh,Dispatch Type,Participant Bids Eligible
01/10/2025,17:00,17:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
01/10/2025,17:30,18:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
01/10/2025,18:00,18:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
01/10/2025,18:30,19:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
01/10/2025,19:00,19:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
01/10/2025,19:30,20:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
01/10/2025,20:00,20:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
01/10/2025,20:30,21:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
30/09/2025,18:00,18:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
30/09/2025,18:30,19:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
29/09/2025,17:00,17:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
29/09/2025,17:30,18:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
29/09/2025,18:00,18:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
29/09/2025,18:30,19:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
29/09/2025,19:00,19:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
29/09/2025,19:30,20:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
24/09/2025,16:00,16:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
24/09/2025,16:30,17:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
24/09/2025,17:00,17:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
24/09/2025,17:30,18:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
24/09/2025,18:00,18:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
24/09/2025,18:30,19:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
24/09/2025,19:00,19:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
24/09/2025,19:30,20:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
24/09/2025,20:00,20:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
24/09/2025,20:30,21:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
23/09/2025,17:00,17:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
23/09/2025,17:30,18:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
23/09/2025,18:00,18:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
23/09/2025,18:30,19:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
23/09/2025,19:00,19:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
23/09/2025,19:30,20:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
22/09/2025,17:00,17:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
22/09/2025,17:30,18:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
22/09/2025,18:00,18:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
22/09/2025,18:30,19:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
19/09/2025,17:00,17:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
19/09/2025,17:30,18:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
19/09/2025,18:00,18:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
19/09/2025,18:30,19:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
19/09/2025,19:00,19:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
19/09/2025,19:30,20:00,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
08/09/2025,16:00,16:30,500,Live,0,All Providers,"ENGIE POWER LIMITED,AXLE ENERGY LIMITED,GALLAGHER AGGREGATES LIMITED,AMP (via Urban Reserve (AssetCo 2) Limited),UTILITA ENERGY LIMITED,GRIDIMP LTD,PERSE TECHNOLOGY LIMITED,SSE DIGITAL SERVICES LIMITED,AMP (via Urban Reserve (AssetCo) Limited),INFINIS LIMITED,EQUIWATT LIMITED,AFFECT ENERGY LTD,HILDEBRAND TECHNOLOGY LIMITED,GRIDBEYOND LIMITED,OCTOPUS ENERGY LIMITED,OAKTREE POWER LIMITED,BRITISH GAS TRADING LIMITED"
